,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
1,1234,0.01,3,100,27,0,0.011,0,0.23255814,0.008746356,33
2,1235,0.01,3,100,27,0,0.006,0,0.285714286,0.004411765,32
3,1236,0.01,3,100,27,0,0.006,0,0.26,0.00736377,38
4,1237,0.01,3,100,27,0,0.006,0,0.285714286,0.005882353,34
5,1238,0.01,3,100,27,0,0.006,0,0.254237288,0.010447761,45
6,1239,0.01,3,100,27,0,0.006,0,0.342105263,0.010130246,27
7,1240,0.01,3,100,27,0,0.006,0,0.254545455,0.007418398,37
8,1241,0.01,3,100,27,0,0.015,0,0.275,0.010159652,29
9,1242,0.01,3,100,27,0,0.005,0,0.326086957,0.005856515,32
10,1243,0.01,3,100,27,0,0.014,0,0.322033898,0.005970149,37
11,1244,0.01,3,100,27,0,0.005,0,0.255319149,0.01026393,34
12,1245,0.01,3,100,27,0,0.006,0,0.235294118,0.007374631,36
13,1246,0.01,3,100,27,0,0.004,0,0.222222222,0.007215007,28
14,1247,0.01,3,100,27,0,0.003,0,0.31372549,0.002949853,32
15,1248,0.01,3,100,27,0,0.004,0,0.212765957,0.008797654,35
16,1249,0.01,3,100,27,0,0.004,0,0.227272727,0.004379562,32
17,1250,0.01,3,100,27,0,0.003,0,0.204081633,0.005882353,35
18,1251,0.01,3,100,27,0,0.003,0,0.230769231,0.010144928,32
19,1252,0.01,3,100,27,0,0.003,0,0.279069767,0.010204082,30
20,1253,0.01,3,100,27,0,0.004,0,0.239130435,0.007320644,36
21,1254,0.01,3,100,27,0,0.004,0,0.288888889,0.00877193,34
22,1255,0.01,3,100,27,0,0.012,0,0.22,0.010309278,36
23,1256,0.01,3,100,27,0,0.003,0,0.2,0.00877193,34
24,1257,0.01,3,100,27,0,0.003,0,0.225,0.007256894,33
25,1258,0.01,3,100,27,0,0.01,0,0.307692308,0.004431315,32
26,1259,0.01,3,100,27,0,0.004,0,0.254237288,0.008955224,42
27,1260,0.01,3,100,27,0,0.004,0,0.210526316,0.010416667,44
28,1261,0.01,3,100,27,0,0.003,0,0.314285714,0.007204611,23
29,1262,0.01,3,100,27,0,0.005,0,0.159090909,0.008759124,33
30,1263,0.01,3,100,27,0,0.003,0,0.233333333,0.014947683,50
31,1264,0.01,3,100,27,0,0.004,0,0.304347826,0.008784773,31
32,1265,0.01,3,100,27,0,0.004,0,0.178571429,0.013372957,47
33,1266,0.01,3,100,27,0,0.004,0,0.254901961,0.013274336,38
