,seed,alpha,deg,n,d,method,time,sig_diff,TPR,FPR,SHM
51,1234,0.05,3,200,243,0,0.172,0,0.531914894,0.004161976,423
52,1235,0.05,3,200,243,0,0.163,0,0.510948905,0.004041748,418
53,1236,0.05,3,200,243,0,0.155,0,0.475059382,0.00397421,429
54,1237,0.05,3,200,243,0,0.161,0,0.523195876,0.00405721,403
55,1238,0.05,3,200,243,0,0.164,0,0.485365854,0.004263374,434
56,1239,0.05,3,200,243,0,0.165,0,0.479616307,0.00416155,434
57,1240,0.05,3,200,243,0,0.16,0,0.541561713,0.004023733,405
58,1241,0.05,3,200,243,0,0.283,0,0.501182033,0.003906117,419
59,1242,0.05,3,200,243,0,0.15,0,0.505995204,0.004178606,430
60,1243,0.05,3,200,243,0,0.151,0,0.48456057,0.004178891,432
61,1244,0.05,3,200,243,0,0.162,0,0.496567506,0.004094725,441
62,1245,0.05,3,200,243,0,0.164,0,0.525229358,0.003719311,406
63,1246,0.05,3,200,243,0,0.17,0,0.507352941,0.004382599,439
64,1247,0.05,3,200,243,0,0.172,0,0.487356322,0.004179889,445
65,1248,0.05,3,200,243,0,0.153,0,0.502314815,0.004145555,435
66,1249,0.05,3,200,243,0,0.161,0,0.525179856,0.003888661,409
67,1250,0.05,3,200,243,0,0.155,0,0.510895884,0.003734907,395
68,1251,0.05,3,200,243,0,0.164,0,0.505910165,0.003923174,411
69,1252,0.05,3,200,243,0,0.169,0,0.561926606,0.003565762,386
70,1253,0.05,3,200,243,0,0.16,0,0.502283105,0.004282473,446
71,1254,0.05,3,200,243,0,0.15,0,0.54245283,0.003889126,407
72,1255,0.05,3,200,243,0,0.171,0,0.522891566,0.004161408,418
73,1256,0.05,3,200,243,0,0.16,0,0.519721578,0.003821352,405
74,1257,0.05,3,200,243,0,0.16,0,0.483204134,0.004619686,444
75,1258,0.05,3,200,243,0,0.16,0,0.478371501,0.003972313,411
76,1259,0.05,3,200,243,0,0.149,0,0.488317757,0.003838215,422
77,1260,0.05,3,200,243,0,0.176,0,0.487113402,0.004278822,426
78,1261,0.05,3,200,243,0,0.155,0,0.489361702,0.003974346,426
79,1262,0.05,3,200,243,0,0.163,0,0.504950495,0.004262938,431
80,1263,0.05,3,200,243,0,0.168,0,0.496453901,0.00400846,426
81,1264,0.05,3,200,243,0,0.148,0,0.518796992,0.003734015,389
82,1265,0.05,3,200,243,0,0.149,0,0.522891566,0.004042023,412
83,1266,0.05,3,200,243,0,0.172,0,0.471563981,0.004213076,439
84,1267,0.05,3,200,243,0,0.165,0,0.52900232,0.004094306,425
85,1268,0.05,3,200,243,0,0.147,0,0.521628499,0.004091653,405
86,1269,0.05,3,200,243,0,0.165,0,0.508599509,0.003990314,411
87,1270,0.05,3,200,243,0,0.159,0,0.521327014,0.004093677,425
88,1271,0.05,3,200,243,0,0.16,0,0.50462963,0.003633758,404
89,1272,0.05,3,200,243,0,0.144,0,0.491315136,0.004194659,428
90,1273,0.05,3,200,243,0,0.166,0,0.490654206,0.004145272,443
91,1274,0.05,3,200,243,0,0.17,0,0.488943489,0.004075577,422
92,1275,0.05,3,200,243,0,0.156,0,0.495670996,0.003652687,417
93,1276,0.05,3,200,243,0,0.17,0,0.468085106,0.003974346,426
94,1277,0.05,3,200,243,0,0.169,0,0.486725664,0.003993379,443
95,1278,0.05,3,200,243,0,0.177,0,0.476082005,0.004367855,458
96,1279,0.05,3,200,243,0,0.155,0,0.488636364,0.003941374,435
97,1280,0.05,3,200,243,0,0.16,0,0.485148515,0.0043823,437
98,1281,0.05,3,200,243,0,0.161,0,0.506265664,0.004092072,409
99,1282,0.05,3,200,243,0,0.163,0,0.516431925,0.003974549,418
100,1283,0.05,3,200,243,0,0.177,0,0.483253589,0.00445157,448
151,1234,0.05,5,200,243,0,0.187,0,0.542517007,0.002873711,422
152,1235,0.05,5,200,243,0,0.183,0,0.487022901,0.002825633,471
153,1236,0.05,5,200,243,0,0.188,0,0.519417476,0.0028923,449
154,1237,0.05,5,200,243,0,0.194,0,0.517515924,0.002772975,453
155,1238,0.05,5,200,243,0,0.196,0,0.495495495,0.003031704,488
156,1239,0.05,5,200,243,0,0.202,0,0.503257329,0.003029007,458
157,1240,0.05,5,200,243,0,0.205,0,0.517515924,0.002636038,437
158,1241,0.05,5,200,243,0,0.175,0,0.511312217,0.002620491,454
159,1242,0.05,5,200,243,0,0.203,0,0.536443149,0.002330243,442
160,1243,0.05,5,200,243,0,0.208,0,0.516272189,0.002501156,456
161,1244,0.05,5,200,243,0,0.203,0,0.514372163,0.00279167,467
162,1245,0.05,5,200,243,0,0.198,0,0.480974125,0.002414714,457
163,1246,0.05,5,200,243,0,0.205,0,0.505443235,0.002756566,458
164,1247,0.05,5,200,243,0,0.175,0,0.523219814,0.002311525,429
