"","seed","alpha","deg","n","d","method","time","sig_diff","TPR","FPR","SHM"
"1",1234,0.05,3,200,243,0,0.185000000055879,0,0.531914893617021,0.00416197591512298,423
"2",1235,0.05,3,200,243,0,0.163000000058673,0,0.510948905109489,0.00404174767215799,418
"3",1236,0.05,3,200,243,0,0.163000000058673,0,0.475059382422803,0.00397421027495395,429
"4",1237,0.05,3,200,243,0,0.160999999963678,0,0.52319587628866,0.00405721007142735,403
"5",1238,0.05,3,200,243,0,0.162000000011176,0,0.485365853658537,0.00426337420488071,434
"6",1239,0.05,3,200,243,0,0.170999999972992,0,0.479616306954436,0.00416155000682221,434
"7",1240,0.05,3,200,243,0,0.159000000101514,0,0.541561712846348,0.00402373320602878,405
"8",1241,0.05,3,200,243,0,0.15500000002794,0,0.501182033096927,0.00390611674001296,419
"9",1242,0.05,3,200,243,0,0.164999999920838,0,0.50599520383693,0.00417860553963706,430
"10",1243,0.05,3,200,243,0,0.143999999971129,0,0.484560570071259,0.0041788906324623,432
"11",1244,0.05,3,200,243,0,0.167000000015832,0,0.496567505720824,0.00409472462976865,441
"12",1245,0.05,3,200,243,0,0.17000000004191,0,0.525229357798165,0.00371931141555628,406
"13",1246,0.05,3,200,243,0,0.167000000015832,0,0.507352941176471,0.00438259920533415,439
"14",1247,0.05,3,200,243,0,0.179000000003725,0,0.48735632183908,0.00417988876377657,445
"15",1248,0.05,3,200,243,0,0.16800000006333,0,0.502314814814815,0.00414555504375864,435
"16",1249,0.05,3,200,243,0,0.178000000072643,0,0.525179856115108,0.00388866148178469,409
"17",1250,0.05,3,200,243,0,0.141000000061467,0,0.51089588377724,0.00373490688314346,395
"18",1251,0.05,3,200,243,0,0.150000000023283,0,0.505910165484634,0.00392317401835363,411
"19",1252,0.05,3,200,243,0,0.171000000089407,0,0.561926605504587,0.00356576186170304,386
"20",1253,0.05,3,200,243,0,0.167999999946915,0,0.502283105022831,0.00428247257340772,446
"21",1254,0.05,3,200,243,0,0.163999999989755,0,0.542452830188679,0.00388912579957356,407
"22",1255,0.05,3,200,243,0,0.172000000020489,0,0.52289156626506,0.00416140805675888,418
"23",1256,0.05,3,200,243,0,0.157000000006519,0,0.519721577726218,0.00382135180320038,405
"24",1257,0.05,3,200,243,0,0.155999999959022,0,0.483204134366925,0.00461968565681361,444
"25",1258,0.05,3,200,243,0,0.153999999980442,0,0.478371501272265,0.00397231314784506,411
"26",1259,0.05,3,200,243,0,0.155999999959022,0,0.488317757009346,0.00383821497415602,422
"27",1260,0.05,3,200,243,0,0.192999999970198,0,0.487113402061856,0.00427882238625322,426
"28",1261,0.05,3,200,243,0,0.162000000011176,0,0.48936170212766,0.00397434585337564,426
"29",1262,0.05,3,200,243,0,0.173000000067987,0,0.504950495049505,0.00426293801688123,431
"30",1263,0.05,3,200,243,0,0.182000000029802,0,0.49645390070922,0.00400846041005697,426
"31",1264,0.05,3,200,243,0,0.142999999923632,0,0.518796992481203,0.00373401534526854,389
"32",1265,0.05,3,200,243,0,0.162000000011176,0,0.52289156626506,0.00404202339939284,412
"33",1266,0.05,3,200,243,0,0.170999999972992,0,0.471563981042654,0.00421307588653692,439
"34",1267,0.05,3,200,243,0,0.17000000004191,0,0.529002320185615,0.00409430550342898,425
"35",1268,0.05,3,200,243,0,0.162000000011176,0,0.521628498727735,0.00409165302782324,405
"36",1269,0.05,3,200,243,0,0.275999999954365,0,0.508599508599509,0.00399031410934143,411
"37",1270,0.05,3,200,243,0,0.152000000001863,0,0.52132701421801,0.00409367697477272,425
"38",1271,0.05,3,200,243,0,0.156000000075437,0,0.50462962962963,0.00363375812477609,404
"39",1272,0.05,3,200,243,0,0.143999999971129,0,0.491315136476427,0.00419465948231763,428
"40",1273,0.05,3,200,243,0,0.160999999963678,0,0.490654205607477,0.0041452721720885,443
"41",1274,0.05,3,200,243,0,0.143000000040047,0,0.488943488943489,0.0040755772313359,422
"42",1275,0.05,3,200,243,0,0.16800000006333,0,0.495670995670996,0.00365268745626163,417
"43",1276,0.05,3,200,243,0,0.165999999968335,0,0.468085106382979,0.00397434585337564,426
"44",1277,0.05,3,200,243,0,0.146999999997206,0,0.486725663716814,0.00399337850060583,443
